,Product,Value,HS6_ID,PCI_2023
1532,300490,31082786.391,300490,0.805450187554188
4841,870323,23296494.439999998,870323,1.52238471181536
1506,300215,22634511.137,300215,1.5309167832308
941,271000,14792644.893,271000,-0.853556899353401
1526,300439,11562267.546,300439,1.12645361977505
1507,300241,9820864.977,300241,0.619892033783351
1466,293719,8420392.716,293719,0.965673118434634
4842,870324,8201716.255,870324,1.03110483694622
4850,870380,8051183.800000001,870380,1.60956256221089
4015,841191,7146614.705,841191,0.748208133558662
1505,300214,5872145.234,300214,1.3892839989019
4920,880240,5674485.047,880240,0.232845285097396
4846,870340,4752063.81,870340,1.43000422008073
1437,293359,4514463.728,293359,0.534792645126542
5037,901890,4509973.088,901890,0.599059315293504
4940,890110,4215347.116,890110,-0.43324912702582
1503,300212,4202961.887,300212,0.806154772387275
4725,853710,3780869.2690000003,853710,0.552148324333896
4938,880730,3707401.7369999997,880730,0.374257700896286
1620,330210,3661524.971,330210,-0.275602850828122
4542,850440,3531895.871,850440,1.14238665793288
775,220421,3361993.456,220421,-0.488556647519418
4874,870840,3288664.363,870840,1.83354727374172
1775,382219,2852477.326,382219,1.5671758462083
1622,330300,2846371.32,330300,-0.0034159798457547
4560,850760,2755046.177,850760,1.51678576330137
3997,840734,2741375.106,840734,1.48953428487849
1442,293379,2624412.29,293379,1.10805134869624
1451,293499,2541081.497,293499,1.27635253988824
4848,870360,2463895.569,870360,1.73183937853625
4462,847989,2410840.319,847989,1.52352050443694
4623,851762,2338454.924,851762,0.63821195826838
3396,711319,2322930.114,711319,0.0075289496041005
4477,848180,2212210.059,848180,1.26939802539582
4764,854231,2092061.5539999998,854231,0.75608407401699
5044,902131,2054165.484,902131,1.10175317498601
4010,841112,1993830.8429999999,841112,0.358178104451339
3363,710239,1863610.155,710239,-1.01051824271476
4883,870899,1821393.936,870899,0.987266627551763
1111,284420,1808012.061,284420,0.852901132980436
4004,840999,1801272.409,840999,0.808384150121978
5033,901839,1689120.68,901839,0.282128514988605
4490,848340,1642964.494,848340,1.30126080516247
2066,420221,1632896.282,420221,-0.479081011975304
4412,847150,1622788.4880000001,847150,1.28217586241578
1946,392690,1619604.234,392690,0.599381315702004
1805,382600,1610126.896,382600,0.424403744550884
774,220410,1585786.0329999998,220410,0.277164520326312
1997,401110,1574292.048,401110,0.49004707176217
3386,711031,1569451.9710000001,711031,1.04295037194071
